productName,brandId,productImage
Atlanta,brand1,uploads/products/65667Desert.jpg
sdfsdf,lakshmi,uploads/products/90565Desert.jpg
dfgdf,raja,uploads/products/65770MaitriHoarding2.jpg
rice,brand1,uploads/products/65667Desert.jpg
test,lakshmi,uploads/products/90565Desert.jpg
ksdjflsdj,raja,uploads/products/65770MaitriHoarding2.jpg
product2,brand1,uploads/products/65667Desert.jpg
product3,lakshmi,uploads/products/90565Desert.jpg
product4,raja,uploads/products/65770MaitriHoarding2.jpg
product5,brand1,C:\Users\Public\Pictures\Sample Pictures\Desert.jpg
product6,lakshmi,C:\Users\Public\Pictures\Sample Pictures\Hydrangeas.jpg
product7,raja,C:\Users\Public\Pictures\Sample Pictures\Jellyfish.jpg
product8,brand1,uploads/products/1451294128Desert.jpg
product9,lakshmi,uploads/products/1451294128Hydrangeas.jpg
product10,raja,uploads/products/145266830190565Desert.jpg
product11,brand1,uploads/products/145266830165770MaitriHoarding2.jpg
product12,lakshmi,uploads/products/145266830165667Desert.jpg
product13,raja,uploads/products/145266830290565Desert.jpg
product14,brand1,uploads/products/145266830265770MaitriHoarding2.jpg
